,EquipmentID,SurveyDate,AreaName,AreaID,Route,EquipmentName,AnalysisDate,FaultStatus,FaultName,Comment,Location,Analyst
0,A741,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,A741 VENTILATEUR A741,2019-10-09 08:11:44,1. FOR INFORMATION,Electrical problem,"Nous observons des fréquences d'origine électrique sur le moteur. La signature du passage de barre rotorique est visible mais reste tout à fait acceptable. Evolution stable depuis la dernière mesure. 

Comportement vibratoire sain. Pas d'action à prévoir. Equipement à suivre selon planning. ",Moteur,tk/400
1,V1102,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,V1102 VENTILATEUR V1102,2019-10-09 08:17:04,1. FOR INFORMATION,Electrical problem,"Nous ne relevons pas de défaut particulier sur l'équipement, seulement des fréquences d'origine électrique dont les amplitudes vibratoires sont stables et acceptables. 

Comportement vibratoire sain. Pas d'action requise, équipement à suivre selon planning. ",Moteur,tk/400
2,M2,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2019-07-21 13:12:40,1. FOR INFORMATION,Other,"Aucun défaut particulier n'est à signaler sur l'équipement, hormis des fréquences électriques stables en regard de la dernière mesure. 

Pas d'action requise. Equipement à suivre selon planning (3 mois). 

",,tk/400
3,M5,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2019-07-21 13:41:05,1. FOR INFORMATION,Other,"Nous ne relevons pas de problème particulier sur l'équipement. Les amplitudes traduisent un fonctionnement normal de l'équipement.

Seul le moteur a été contrôler les plaiers ventilateur ne sont pas accessibles.

Pas d'action requise. Equipement à suivre selon planning.",,tk/400
4,M9,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M9 POMPE M9,2019-07-21 14:01:09,1. FOR INFORMATION,Other,"Aucun défaut particulier n'est relevé sur cet équipement.

Seul le moteur a été mesuré, les paliers du ventilateur n'étant pas accessibles. 

Pas d'action requise. Equipement à suivre selon planning (3 mois). ",,tk/400
5,40M01,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,40M01 Kuttner,2019-10-09 08:41:35,1. FOR INFORMATION,Electrical problem,"Aucune défaut particulier n'est relevé sur l'équipement. 
Des fréquences d'origine éléctrique sont observées sur le moteur et une signature de roulement est visible sur le palier côté opposé accouplement du ventilateur. 
Dans un cas comme dans l'autre, les amplitudes vibratoires sont faibles et n'évoluent pas. 
Comportement vibratoire sain. Pas d'action requise, équipement à suivre selon planning. ",,tk/400
6,M2,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2019-10-09 09:21:38,1. FOR INFORMATION,Other,"Nous ne relevons pas de défaut sur cet équipement. Le comportement vibratoire est sain. Aucune action requise, équipement à suivre selon planning. ",,tk/400
7,M9,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M9 POMPE M9,2019-10-09 09:37:06,1. FOR INFORMATION,Imbalance,"Pas de défaut particulier sur cet équipement, hormis un léger déséquilibre avec amplification structurelle. Compte tenu de la souplesse de la structure, cela est tout à fait acceptable. Pas d'action requise, équipement à suivre selon planning. ",,tk/400
8,Dép PF,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,Dép PF Dépoussièrage PF,2020-01-13 15:17:34,1. FOR INFORMATION,Courroie(s),"Nous ne relevons pas de défaut particulier sur cet équipement, hormis une fréquence de courroie. Nous pouvons entendre les courroies également lorsque l'équipement est encore froid. Cela ne doit pas générer d'inquiétude. 

Pas d'action requise. Equipement à suivre selon planning. ",,tk/400
9,A711,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,A711 VENTILATEUR A711,2020-01-13 16:26:39,1. FOR INFORMATION,N/A,"Nous n'observons pas de défaut particulier sur cet équipement, hormis la présence de fréquences électriques qui ne doivent pas générer d'inquiétude.

Pas d'action requise. Equipement à suivre selon planning.  ",,tk/400
10,M1,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,M1 POMPE M1,2020-06-25 15:55:22,1. FOR INFORMATION,N/A,Nous ne relevons pas de défaut particulier sur cet équipement. Comportement vibratoire satisfaisant. A suivre de manière périodique. ,,Administrator/44534
11,M2,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2020-06-25 16:03:04,1. FOR INFORMATION,N/A,Nous ne relevons pas de défaut particulier sur cet équipement. Comportement vibratoire satisfaisant. A suivre de manière périodique. ,,Administrator/44534
12,M7,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,M7 POMPE M7,2020-06-25 16:14:00,1. FOR INFORMATION,Lubrication problem,Evolution positive du défaut de la lubrification. Pas d'anomalie particulière relative. Aucune action requise. A suivre périodiquement. ,,Administrator/44534
13,M8,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,M8 POMPE M8,2020-06-25 16:16:37,1. FOR INFORMATION,N/A,Pas de défaut particulier relevé. Aucune action requise. A suivre périodiquement.,,Administrator/44534
14,PF1AN,2020-03-04 23:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,PF1AN REDUCTEUR_PFA1_NORD,2020-03-12 08:49:49,1. FOR INFORMATION,Lubrication problem,"Les amplitudes sont normales.
Prédominance de chocs à 993 et 248cpm, probablement liés aux chocs à la rotation  des arbres GV et MV1 
Fonctionnement calme du réducteur

Roulements:
Sur les roulementsdu second arbre, on reléve la présence de chocs à 169cpm, dont l'origine est difficile à attribuer sans les éléments de la cinématique (plan et désignation des roulements).

Préconisation:
Un graissage léger des paliers du moteur est recomandé sans urgences.
Les plans et la séléments de la cinématique du réducteur est à transmettre afin confirmer l'origine des défauts observés",palier moteur côté transmission,Laurent/44701
15,Dép PF,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,Dép PF Dépoussièrage PF,2020-06-25 15:22:47,1. FOR INFORMATION,N/A,Aucun défaut particulier relevé sur l'équipement. Aucune action requise. ,,Administrator/44534
16,V1,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,V1 VENTILATEUR V1,2020-03-11 11:40:25,1. FOR INFORMATION,Niveaux stables,"Moteur/ ventilateur
Pas d'évolution notables sur les mesures de cette campagnes.
Sur le roulement du ventilateur côté accouplement, les spectres en accélération et peak-vue ne présente pas d'évolution notable.

Préconisation:
Suivre l'évolution des défauts lors des prochaines mesures.",Roulement du ventilateur côté accouplement,Laurent/44701
17,P36B,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,P36B POMPE P36B,2020-03-11 14:16:21,1. FOR INFORMATION,Evolution positive,"Moteur/ pompe.
Peu d'évolution sur l'ensemble de la cinématique avec la prédominance sur les spectres vitesse des harmoniques 3 et 6 à la rotation de l'arbre (nombres d'aubes ?).

Roulements
Evolution positive de la mesure en accélération sur le roulement du moteur côté accouplement. Disparition de la composante liée au manque de lubrification.

Préconisation:
Pas d'action requise",lubrification palier moteur côté accouplement,Laurent/44701
18,M1,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,M1 POMPE M1,2020-03-11 15:03:48,1. FOR INFORMATION,N/A,"Bon fonctionnement de l'ensemble des éléments de la cinématique.
Pas d'évolution depuis les esures de janvier 2020.

Psa d'actions requises",ensemble de la cinématique,Laurent/44701
19,M2,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2020-03-11 15:10:57,1. FOR INFORMATION,N/A,"Fonctionnement normal  et sans évolutions notables de cet ensemble

Pas d'actions requises",Ensemble de la cinématique,Laurent/44701
20,T40,2019-06-26 22:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,T40 REDUCTEUR T40,2019-07-04 14:33:43,1. FOR INFORMATION,Gear problem,"Aucun défaut particulier relevé sur cet équipement. Des fréquences d'engrènement, typiques du fonctionnement normal d'un réducteur sont observées. 

Pas d'action requise, équipement à suivre selon planning. ",,tk/400
21,T43A,2019-06-26 22:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,T43A REDUCTEUR T43A H2.25,2019-07-04 14:44:36,1. FOR INFORMATION,Gear problem,"Aucun défaut particulier relevé sur cet équipement. Des fréquences d'engrènement, typiques du fonctionnement normal d'un réducteur sont observées. 

Des fréquences électriques sont également relevées sur le moteur. 

Pas d'action requise, équipement à suivre selon planning. ",,tk/400
22,M1,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,M1 POMPE M1,2020-01-13 16:50:26,1. FOR INFORMATION,N/A,"Nous ne relevons pas de défaut particulier sur cet équipement. Le défaut de lubrification mentionné à la dernière mesure ne semble pas évoluer et ne doit pas générer d'inquiétude. 

Pas d'action à prévoir. Equipement à suivre selon planning.",,tk/400
23,V1,2019-03-01 08:29:45,FERROGLOBE,FER,FERROGLOBE,V1 VENTILATEUR V1,2019-03-04 07:36:29,1. FOR INFORMATION,Other,,,Administrator/44534
24,V1102,2019-05-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,V1102 VENTILATEUR V1102,2019-05-03 07:57:53,1. FOR INFORMATION,Other,"Nous ne relevons pas de problème particulier sur l'équipement.

Jeu OK
Alignement OK
Equilibrage OK
Lubrification OK

Pas d'action requise. Equipement à suivre selon planning.",,Administrator/44534
25,M2,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2020-01-13 16:53:08,1. FOR INFORMATION,N/A,"Pas de défaut particulier relevé sur cet équipement. L'ensemble des mesures vibratoires indiquent un comportement vibratoire sain.

 Pas d'action requise. Equipement à suivre selon planning.",,tk/400
26,M4,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,M4 POMPE M4,2020-01-13 16:58:51,1. FOR INFORMATION,N/A,"Nous n'observons pas de défaut particulier sur cet équipement. L'ensemble des mesures vibratoires indiquent un comportemet vibratoire normal. 

Pas d'action requise. Equiement à suivre selon planning. ",,tk/400
27,A752,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,A752 VENTILATEUR A752,2020-03-11 11:25:05,1. FOR INFORMATION,Evolution positive,"Moteur:
Fonctionnement normal du moteur

Roulement: RAS
Lubrification: RAS

Ventilateur: 
Fonctionnement normal de la turbine. Présence de chocs à la rotation à de faibles amplitudes, signe d'un léger jeux de fonctionnement.

Roulement:
Amélioration des amplitudes en accélération et Peak-Vue, avec la disparition du défaut de lubrification.

Préconisation:
Fonctionnement normal.",palier ventilateur côté accouplement,Laurent/44701
28,40M01,2020-10-02 07:33:59,FERROGLOBE,FER,FERROGLOBE,40M01 Kuttner,2020-10-02 08:16:11,1. FOR INFORMATION,Other,,,HL/44534
29,M5,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2020-03-11 15:29:48,1. FOR INFORMATION,N/A,"Moteur:
Le comportement vibratoire du moteur est correct et les amplitudes en légère baisse. Cette tendance est liée à une vitesse de fonctionnement moins importante que lors des précédentes mesures.

Roulements:
Cette série de mesures ne confirme pas la présence de dafuts liés à la cinématique des roulements

Pas d'actions requises",Moteur,Laurent/44701
30,M7,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,M7 POMPE M7,2020-03-11 15:39:14,1. FOR INFORMATION,Lubrication problem,"Moteur et pompe
Fonctionnement normal avec la prédominance de la troisième harmonique à la rotation de l'arbre, particulièrement visible sur la pompe.

Roulements de la pompe:
Pas d'évolutions notables sur les amplitudes globales et formes spectrale et d'onde.

Préconisation.
Pas d'action requise mais à suivre suivant le planning.",pompe,Laurent/44701
31,M9,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,M9 POMPE M9,2020-03-11 16:20:13,1. FOR INFORMATION,Lubrication problem,"Moteur:
Fonctionnement normal du moteur.

Roulement:
Pas d'évolutions sur les roulements du moteur avec toujours une contrainte accompagné de défauts de piste naissants. pas d'évolution en amplitude ou en nombre d'harmoniques

Préconisation:
Pas d'action requise. A suivre suivant le planning ",roulements du moteur,Laurent/44701
32,PF14,2020-03-04 23:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,PF14 PF14_Concasseur_secondaire,2020-03-11 16:30:54,1. FOR INFORMATION,Evolution positive,"Moteur:
Baisse légère des amplitudes sur la palier côté opposé à l'accouplement.
Cette tendance est liée à la première harmonique à la rotation de l'arbre du concasseur.

Concasseur:
Baisse légère des amplitudes sur la palier côté opposé à l'accouplement.
Cette tendance est liée à la première harmonique à la rotation de l'arbre du concasseur.
Les amplitudes demeurent notables mais stables sur le palier côté accouplement

Pas d'action requise",paliers concasseur côté opposé à l'accouple.,Laurent/44701
33,T43B,2020-03-04 23:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,T43B REDUCTEUR T43_B H2.64,2020-03-11 17:13:18,1. FOR INFORMATION,Evolution positive,"Moteur:
Fonctionnement du moteur

Roulement:
Modification des spectres et formes d'ondes sur les mesures peak-vue montrant une diminution des défauts relevés lors de la précédentes mesures.

Réducteur:
Fonctionnement normal du réducteur

Pas d'action requise",Lubrification roulement moteur,Laurent/44701
34,M2,2019-05-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2019-05-03 08:44:24,1. FOR INFORMATION,Other,"Nous ne relevons pas de problème particulier sur l'équipement. Les amplitudes traduisent un fonctionnement normal de l'équipement.

Jeu OK
Alignement OK
Lubrification OK

Pas d'action requise. Equipement à suivre selon planning.",,Administrator/44534
35,M4,2019-05-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M4 POMPE M4,2019-05-03 08:46:59,1. FOR INFORMATION,Other,"Nous ne relevons pas de problème particulier sur l'équipement. Les amplitudes traduisent un fonctionnement normal de l'équipement.

Seul le moteur a été contrôler les plaiers ventilateur ne sont pas accessibles.

Jeu OK
Alignement OK
Lubrification OK

Pas d'action requise. Equipement à suivre selon planning.",,Administrator/44534
36,M5,2019-05-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2019-05-03 08:48:13,1. FOR INFORMATION,Other,"Nous ne relevons pas de problème particulier sur l'équipement. Les amplitudes traduisent un fonctionnement normal de l'équipement.

Seul le moteur a été contrôler les plaiers ventilateur ne sont pas accessibles.

Jeu OK
Alignement OK
Lubrification OK

Pas d'action requise. Equipement à suivre selon planning.",,Administrator/44534
37,M9,2019-05-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M9 POMPE M9,2019-05-03 08:55:32,1. FOR INFORMATION,Drive Belt concern,"Nous relevons les fréquences de défaut des courroies de transmission. Les amplitudes sont marquées mais restent acceptables. A suivre lors du prochain contrôle.

Seul le moteur a été contrôler les plaiers ventilateur ne sont pas accessibles.

Pas de défaut notable de roulement à signaler.

Equilibrage OK
Lubrification OK
Jeu OK
Alignement OK

Pas d'action requise. Equipement à suivre selon planning.",,Administrator/44534
38,A402,2019-06-27 22:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,A402 REDUCTEUR_A402_voirplan,2019-07-04 14:07:32,1. FOR INFORMATION,Electrical problem,"Aucun défaut particulier n'est relevé sur l'équipement. 

Nous observons cependant des fréquences d'origine électrique. 

Aucune action requise, équipement à suivre selon planning. ",,tk/400
39,Dép PF,2020-10-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,Dép PF Dépoussièrage PF,2020-10-02 08:23:22,1. FOR INFORMATION,N/A,"Nous ne relevons pas de défaut ni d'évolution particulière sur cet équipement. (Léger jeu structurel tout à fait acceptable). 

Comportement vibratoire sain. Pas d'action requise. ",,HL/44534
40,M2,2020-10-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2020-10-02 08:44:42,1. FOR INFORMATION,N/A,"Nous ne relevons pas de défaut ni d'évolution particulière. Comportement vibratoire satisfaisant. 

Pas de défaut notable. A suivre selon planning. ",,HL/44534
41,M4,2020-10-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M4 POMPE M4,2020-10-02 08:46:40,1. FOR INFORMATION,N/A,"Nous ne relevons pas de défaut particulier. 

Pas de défaut notable. A suivre selon planning.",,HL/44534
42,M5,2020-10-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2020-10-02 08:47:44,1. FOR INFORMATION,N/A,"Nous ne relevons pas de défaut particulier. 

Pas de défaut notable. A suivre selon planning.",,HL/44534
43,M7,2020-10-01 22:00:00,FERROGLOBE,FER,FERROGLOBE,M7 POMPE M7,2020-10-02 08:49:49,1. FOR INFORMATION,Vane pass frequency,"Nous relevons sur le moteur ue fréquence à 3X la vitesse de rotation. Cette fréquence trouve son origine dans le fonctionnement de la pompe (3 aubes) et se trouve amplifiée sur le moteur. Les amplitudes ne nécessitent pas d'intervention. 
Nous relevons également du frottement sur la pompe. Pas d'accès pour lubrifier --> Pas d'action requise. 

Passage des aubes avec amplification sur moteur et lubrification naissant sur pompe. Pas d'action requise. ",Moteur,HL/44534
44,A741,2020-10-07 22:00:00,FERROGLOBE,FER,FERROGLOBE,A741 VENTILATEUR A741,2020-10-14 12:04:13,1. FOR INFORMATION,Lubrication problem,Nous ne relevons pas de défaut particulier sur l'équipement. Comportement vibratoire sain. ,,HL/44534
45,PF1AS,2020-10-07 22:00:00,REDUCTEURS_FERROGLOBE,RED,REDUCTEURS_FERROGLOBE,PF1AS REDUCTEUR_PFA1_SUD,2020-10-14 13:06:36,1. FOR INFORMATION,N/A,"Nous ne relevons pas de défaut particulier sur l'équipement. Pas d'action à suivre, à suivre selon planning. ",,HL/44534
46,40M01,2019-02-25 23:00:00,FERROGLOBE,FER,FERROGLOBE,40M01 Kuttner,2019-02-26 13:52:04,2. NO INTERVENTION REQUIRED,Other,"Nous relevons une fréquence de piste interne sur le palier côté opposé accouplé du ventilateur. Les amplitudes sont très faibles. Aucune action requise.

Pas de défaut notable sur le moteur à signaler.

Jeu OK.
Structure OK.
Alignement OK.
Lubrification OK.

Pas d'action requise. Equipement à suivre selon planning (3 mois).",,Administrator/44534
47,V1,2019-06-26 22:00:00,FERROGLOBE,FER,FERROGLOBE,V1 VENTILATEUR V1,2019-07-21 15:01:23,2. NO INTERVENTION REQUIRED,Other,"Le défaut de roulement présent sur le palier côté accouplement du ventilateur ne présente pas une évolution notable depuis la dernière mesure. 

Pas d'action requise. Equipement à suivre selon planning (3 mois).  ",,tk/400
48,V1102,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,V1102 VENTILATEUR V1102,2019-07-21 15:07:28,2. NO INTERVENTION REQUIRED,Electrical problem,"Nous relevons l'apparition/ l'augmentation de fréquences d'origine électriques sur le moteur. 

Aucune action requise. Equipement à suivre selon planning (3 mois). ",,tk/400
49,V2,2019-06-26 22:00:00,FERROGLOBE,FER,FERROGLOBE,V2 VENTILATEUR V2,2019-07-21 15:12:28,2. NO INTERVENTION REQUIRED,Other,"Le défaut de roulement présent sur le palier côté accouplement du ventilateur ne présente pas une évolution notable depuis la dernière mesure. 

Pas d'action requise. Equipement à suivre selon planning (3 mois).  ",,tk/400
50,A752,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,A752 VENTILATEUR A752,2019-10-09 08:21:36,2. NO INTERVENTION REQUIRED,Lubrication problem,"Nous relevons un léger problème de lubrification. Les amplitudes vibratoires ne nécessitent pas encore d'intervention à ce stade. 
Suivre la périodicité de graissage habituelle. ",Ventilateur côté accouplement,tk/400
51,M42,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M42 VENTILATEUR M42,2019-10-09 08:36:54,2. NO INTERVENTION REQUIRED,Imbalance,"Nous relevons sur le moteur et sur le ventilateur une fréquence à 1 X fois la vitesse de rotation du ventilateur, signature d'un pur déséquilibre. Les amplitudes vibratoires max observées ce jour (5 mm/s RMS) restent acceptables et bien en deça des 32 mm/s RMS déjà observées. Nous vous conseillons toutefois de rester vigilant et nettoyer la turbine dès que les vibrations vous semblent augmenter. ",Ventilateur,tk/400
52,M4,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M4 POMPE M4,2019-07-21 13:22:32,2. NO INTERVENTION REQUIRED,Electrical problem,"Nous relevons une augmentation des niveaux d'origine électriques. Les niveaux vibratoires restent acceptables. 

Seul le moteur a été contrôler les plaiers ventilateur ne sont pas accessibles.

Pas d'action requise, équipement à suivre selon planning (3 mois). ",,tk/400
53,M42,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M42 VENTILATEUR M42,2019-07-21 13:26:10,2. NO INTERVENTION REQUIRED,Imbalance,"Suite au nettoyage de le turbine effectué par vos soins, nous notons une nette diminution du déséquilibre (de 30.5 mm/s RMS à 5.8 mm/s RMS). Le nettoyage a été nécessaire pour retrouver un niveau vibratoire sain. 

Nous notons toutefois le maintien d'un déséquilibre originel, particulièrement en direction axiale. Les valeurs actuelles sont encore acceptables (7.5 mm/s RMS), mais nous vous conseillons de réaliser un équilibrage pour un fonctionnement sur le long terme si les valeurs continuent d'augmenter. 

Un défaut de roulement naissant du côté accouplement du ventilateur est relevé mais ne nécessite pas d'intervention à ce stade. 

Pas d'action requise. Equipement à suivre selon planning (3 mois). ",,tk/400
54,M6,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M6 POMPE M6,2019-07-21 13:45:07,2. NO INTERVENTION REQUIRED,Looseness,"Nous observons un défaut de jeu au niveau du moteur. Le défaut a un peu évolué mais reste acceptables à ce stade. 

Défaut de jeu à suivre à la prochaine mesure (3 mois). ",,tk/400
55,M8,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M8 POMPE M8,2019-07-21 13:51:14,2. NO INTERVENTION REQUIRED,Looseness,"Equipement mesuré pour la première fois: défaut de jeu naissant ou fonctionnement normal, suivre l'évolution lors de la prochaine mesure. 

Seul le moteur a été contrôlé, les paliers du ventilateur ne sont pas accessibles.

Pas d'action requise, équipement à suivre selon planning (3 mois). ",,tk/400
56,A711,2020-03-04 23:00:00,FERROGLOBE,FER,FERROGLOBE,A711 VENTILATEUR A711,2020-03-11 10:32:09,2. NO INTERVENTION REQUIRED,Electrical problem,"Moteur:
Niveaux vibratoire en baisse notable sur l'ensemble de la cinématique.
Les amplitudes vibratoires sont correctes.
Hausse nette des mesures accélération et Peak-Vue, sur le palier côté accouplement. Cette évolution semble liée au fréquences émise par le variateur de vitesse.

Roulement: OK
Lubrification : OK

Ventilateur:
Niveaux vibratoire en baisse notable sur l'ensemble de la cinématique.
Les amplitudes vibratoires sont correctes.

Roulements: 
Fonctionnement avec une légère contrainte de fonctionnement, et un marquage de la piste externe.

Préconisation: 
Les évolutions constatée lors de cette collecte de mesures sont liées à une vitesse de fonctionnement moins importante que lors des précédentes campagnes. 
L'évolution des amplitudes émises par le variateur de vitesse et les défauts de piste et de contrainte observés sur les roulements du ventilateur sont à surveiller lors des prochaines mesures.
",palier moteur côté accouplement,Laurent/44701
57,A711,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,A711 VENTILATEUR A711,2019-10-09 08:52:39,2. NO INTERVENTION REQUIRED,BSF & FTF defect,"Nous relevons sur le palier côté turbine une fréquence correspondant à un défaut de cage. Les amplitudes vibratoires demeurent faibles. des fréquences d'origine électrique sont observées sur le moteur. Les amplitudes sont stables et acceptables. Comportement vibratoire sain du reste, pas d'action requise. Equipement à suivre selon planning. ",Ventilateur côté accouplement,tk/400
58,M4,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M4 POMPE M4,2019-10-09 09:26:42,2. NO INTERVENTION REQUIRED,Faulty belt,Nous relevons une fréquence relative à un défaut de courroie. Les amplitudes sont stables par rapport à la dernière mesure et ne justifient pas d'intervention à ce stade. Equipement à suivre selon planning. ,,tk/400
59,M5,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2019-10-09 09:29:55,2. NO INTERVENTION REQUIRED,Imbalance,Nous relevons un déséquilibre du ventilateur avec amplification structurelle sur le moteur. Les amplitudes vibratoires sont encore acceptables pour ce type d'équipement et ne justifient pas d'intervention. Evolution à suivre à la prochaine mesure. ,,tk/400
60,M6,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M6 POMPE M6,2019-10-09 09:33:27,2. NO INTERVENTION REQUIRED,Looseness,"Nous relevons des multiples entiers de la vitesse de rotation de l'équipement traduisant un problème de jeu au niveau de l'accouplement. Les amplitudes sont marquées mais restent acceptable. Aucune action requise à ce stade.

Visible également du frottement sur les paliers de la pompe. Les amplitudes sont encore acceptable.

Pas d'action requise à ce stade. Equipement à suivre selon planning.",Moteur,tk/400
61,40M01,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,40M01 Kuttner,2020-01-13 15:06:08,2. NO INTERVENTION REQUIRED,Bearing - Outer/Inner race,"Nous relevons sur le palier du ventilateur côté opposé accouplement des fréquences asynchrones correspondants à un défaut de piste interne ou externe. Les amplitudes ne sont pas la hausses et ne sont pas du tout alarmantes. Toutefois, l'équipement tournait moins vite qu'habituellement (600 RPM au lieu de 800). Le moteur présente aussi de forts niveaux vibratoires liés au fonctionnement du variateur qui doit ""plus travailler"" en basse vitesse. Les amplitudes ne doivent pas générer d'inquiétude.

Aucune intervention requise. Equipement à suivre selon planning. ",Palier ventilateur côté opposé accouplement,tk/400
62,M4,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,M4 POMPE M4,2020-06-25 16:04:35,2. NO INTERVENTION REQUIRED,Structural problem / resonance,Nous relevons sur l'équipement un légère résonance structurelle. Les amplitudes ne nécessitent pas encore d'intervention. A suivre périodiquement. ,,Administrator/44534
63,M5,2020-06-24 22:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2020-06-25 16:10:31,2. NO INTERVENTION REQUIRED,Electrical problem,Nous relevons une augmentation des fréquences électriques sur le moteur. Les amplitudes ne sont pas encore alarmantes. Aucune action requise. A suivre périodiquement. ,Moteur,Administrator/44534
